nome;dimensao;material; qtd ;unid; unit ; total 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø33mmx150mm;Ø33mmx150mm;AÇO; 56,00 ;UN; 103,38 ; 5.789,28 
EXTREMIDADE COM FLANGE PN10 E BOLSA JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 1,00 ;UN; 20.747,58 ; 20.747,58 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM VOLANTE PN10;DN200;FD; 1,00 ;UN; 1.424,37 ; 1.424,37 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM CABEÇOTE PN10;DN200;FD; 2,00 ;UN; 1.356,14 ; 2.712,28 
JUNTA DE DESMONTAGEM TRAVADA AXIALMENTE PN10;DN200;FD; 2,00 ;UN; 1.485,41 ; 2.970,82 
TUBO COM FLANGE E PONTA PN10;DN200x1,00m;FD; 2,00 ;UN; 1.329,48 ; 2.658,96 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN200;FD; 48,00 ;M; 422,71 ; 20.290,08 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN200;DN200;EPDM; 8,00 ;UN; 36,60 ; 292,80 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN1000;DN1000;EPDM; 1,00 ;UN; 523,13 ; 523,13 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø20mmx90mm;Ø20mmx90mm;AÇO; 32,00 ;UN; 16,84 ; 538,88 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø33mmx150mm;Ø33mmx150mm;AÇO; 28,00 ;UN; 103,38 ; 2.894,64 
CURVA 45° COM BOLSAS JUNTA ELÁSTICA JTE;DN700;FD; 4,00 ;UN; 20.167,86 ; 80.671,44 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JTE K7;DN700;FD; 42,00 ;M; 3.090,18 ; 129.787,56 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN700;FD; 651,00 ;M; 2.022,35 ; 1.316.549,85 
TUBO CILÍNDRICO K7 - DN700x3,50m;DN700x3,50m;FD; 2,00 ;UN; 11.632,82 ; 23.265,64 
TÊ DE REDUÇÃO COM BOLSAS JUNTA ELÁSTICA JE2GS E FLANGE PN10;DN700x200;FD; 1,00 ;UN; 10.514,62 ; 10.514,62 
LUVA DE CORRER COM BOLSAS JUNTA MECÂNICA;DN700;FD; 1,00 ;UN; 14.123,81 ; 14.123,81 
TUBO CILÍNDRICO K7 - DN700x0,70m;DN700x0,70m;FD; 1,00 ;UN; 4.145,52 ; 4.145,52 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM VOLANTE PN10;DN200;FD; 1,00 ;UN; 1.424,37 ; 1.424,37 
TUBO CILÍNDRICO K7 COM PONTAS PARA JUNTA TRAVADA EXTERNA JTE - DN700x1,00m;DN700x1,00m;FD; 2,00 ;UN; 4.145,52 ; 8.291,04 
TUBO CILÍNDRICO K7 COM PONTAS PARA JUNTA TRAVADA EXTERNA JTE - DN700x1,60m;DN700x1,60m;FD; 1,00 ;UN; 7.186,31 ; 7.186,31 
TÊ DE REDUÇÃO COM BOLSAS JUNTA TRAVADA EXTERNA JTE E FLANGE PN10;DN700x200;FD; 1,00 ;UN; 10.514,62 ; 10.514,62 
CURVA 45° COM FLANGES PN10;DN200;FD; 2,00 ;UN; 581,29 ; 1.162,58 
TUBO COM FLANGES PN10;DN200x2,00m;FD; 1,00 ;UN; 2.406,75 ; 2.406,75 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM CABEÇOTE PN10;DN200;FD; 1,00 ;UN; 1.356,14 ; 1.356,14 
JUNTA DE DESMONTAGEM TRAVADA AXIALMENTE PN10;DN200;FD; 1,00 ;UN; 1.485,41 ; 1.485,41 
TUBO COM FLANGE E PONTA PN10;DN200x1,00m;FD; 1,00 ;UN; 1.329,48 ; 1.329,48 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN200;FD; 18,00 ;M; 422,71 ; 7.608,78 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN200x3,00m;FD; 1,00 ;UN; 422,71 ; 422,71 
TAMPÃO EM FERRO DÚCTIL D 400 PADRÃO IGUA-RIO - VÃO LIVRE Ø60cm;VÃO LIVRE Ø60cm;FD; 1,00 ;UN; 574,34 ; 574,34 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN200;DN200;EPDM; 9,00 ;UN; 258,69 ; 2.328,21 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø20mmx90mm;Ø20mmx90mm;AÇO; 48,00 ;UN; 16,84 ; 808,32 
LUVA DE CORRER COM BOLSAS JUNTA MECÂNICA;DN700;FD; 3,00 ;UN; 14.123,81 ; 42.371,43 
TUBO COM FLANGE E PONTA PN10;DN700x3,00m;FD; 2,00 ;UN; 10.801,12 ; 21.602,24 
TÊ COM FLANGES PN10;DN700;FD; 1,00 ;UN; -   ; -   
JUNTA DE DESMONTAGEM TRAVADA AXIALMENTE PN10;DN700;FD; 2,00 ;UN; 10.607,02 ; 21.214,04 
TOCO COM FLANGES PN10;DN700x0,50m;FD; 2,00 ;UN; 8.051,07 ; 16.102,14 
VÁLVULA BORBOLETA FLANGEADA PN10 COM ACIONAMENTO MANUAL COM CABEÇOTE;DN700;FD; 2,00 ;UN; 33.994,83 ; 67.989,66 
TUBO COM FLANGE E PONTA PN10;DN700x2,00m;FD; 1,00 ;UN; 8.684,24 ; 8.684,24 
JUNTA DE DESMONTAGEM TRAVADA AXIALMENTE PN10;DN1000;FD; 1,00 ;UN; 27.640,59 ; 27.640,59 
TUBO COM FLANGES PN10;DN1000x1,00m;FD; 1,00 ;UN; 18.822,73 ; 18.822,73 
VÁLVULA BORBOLETA FLANGEADA PN10 COM ACIONAMENTO MANUAL COM CABEÇOTE;DN1000;FD; 1,00 ;UN; 67.340,10 ; 67.340,10 
TAMPA PARA REGISTRO TD5;100mm;FD; 3,00 ;UN; 31,22 ; 93,66 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN700;DN700;EPDM; 10,00 ;UN; 258,69 ; 2.586,90 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN1000;DN1000;EPDM; 4,00 ;UN; 523,13 ; 2.092,52 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø27mmx130mm;Ø27mmx130mm;AÇO; 144,00 ;UN; 48,48 ; 6.981,12 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø33mmx150mm;Ø33mmx150mm;AÇO; 56,00 ;UN; 103,38 ; 5.789,28 
LUVA DE CORRER COM BOLSAS JUNTA MECÂNICA;DN700;FD; 5,00 ;UN; 14.123,81 ; 70.619,05 
TUBO COM FLANGE E PONTA PN10;DN700x1,50m;FD; 5,00 ;UN; 7.545,89 ; 37.729,45 
VÁLVULA BORBOLETA FLANGEADA PN10 COM ACIONAMENTO MANUAL COM CABEÇOTE;DN700;FD; 2,00 ;UN; 33.994,83 ; 67.989,66 
TOCO COM FLANGES PN10;DN700x0,50m;FD; 2,00 ;UN; 8.051,07 ; 16.102,14 
JUNTA DE DESMONTAGEM TRAVADA AXIALMENTE PN10;DN700;FD; 2,00 ;UN; 10.607,02 ; 21.214,04 
TUBO CILÍNDRICO K7 - DN700x6,00m;DN700x6,00m;FD; 1,00 ;UN; 20.269,78 ; 20.269,78 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN700x7,00m;FD; 1,00 ;UN; 2.022,35 ; 2.022,35 
TÊ COM FLANGES PN10;DN700;FD; 1,00 ;UN; 20.219,02 ; 20.219,02 
TAMPA PARA REGISTRO TD5;100mm;FD; 2,00 ;UN; 31,22 ; 62,44 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN700;DN700;EPDM; 10,00 ;UN; 258,69 ; 2.586,90 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø27mmx130mm;Ø27mmx130mm;AÇO; 144,00 ;UN; 48,47 ; 6.979,68 
LUVA DE CORRER COM BOLSAS JUNTA MECÂNICA;DN600;FD; 2,00 ;UN; 7.276,10 ; 14.552,20 
TUBO CILÍNDRICO K7 - DN600x1,00m;DN600x1,00m;FD; 2,00 ;UN; 2.813,58 ; 5.627,16 
TÊ COM BOLSAS JUNTA ELÁSTICA JE2GS;DN600;FD; 1,00 ;UN; 9.015,10 ; 9.015,10 
REDUÇÃO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS;DN600x500;FD; 1,00 ;UN; 4.778,66 ; 4.778,66 
TUBO COM FLANGE E PONTA PN10;DN500x1,80m;FD; 1,00 ;UN; 4.316,10 ; 4.316,10 
